cited_author,wos-uid
"Fischer, Klara",WOS:000830933700001
"Cairns, Jill E.",WOS:000830933700001
"Prugl, Elisabeth",WOS:000830933700001
"Pruegl, Elisabeth",WOS:000830933700001
"Dzanku, Fred Mawunyo",WOS:000830933700001
"Anderson, C. Leigh",WOS:000830933700001
"Voss, Rachel C.",WOS:000830933700001
"Teeken, Bela",WOS:000830933700001
"Crossland, Mary",WOS:000830933700001
"Thiele, Graham",WOS:000830933700001
"Forsythe, Lora",WOS:000830933700001
"Haydon, Steph",WOS:000830933700001
"Taylor, Marcus",WOS:000830933700001
"Acevedo, Maricelis",WOS:000830933700001
"Polar, Vivian",WOS:000830933700001
"Farhall, Kate",WOS:000830933700001
"van der Burg, Margreet",WOS:000830933700001
"Doganova, Liliana",WOS:000830933700001
"Weltzien, Eva",WOS:000830933700001
"Ampaire, Edidah L.",WOS:000830933700001
"Tavenner, Katie",WOS:000830933700001
"Rousseau, Karen",WOS:000830933700001
"Cobb, Joshua N.",WOS:000830933700001
"Almekinders, Conny J. M.",WOS:000830933700001
"Lyon, Sarah",WOS:000830933700001
"Gengenbach, Heidi",WOS:000830933700001
"Fejerskov, Adam Moe",WOS:000830933700001
"Westengen, Ola Tveitereid",WOS:000830933700001
"Kent, Rebecca",WOS:000830933700001
"Collins, Andrea",WOS:000830933700001
"Esquivel, Valeria",WOS:000830933700001
"Doss, Cheryl R.",WOS:000830933700001
"Doss, Cheryl R.",WOS:000830933700001
"Kimani, P. M.",WOS:000830933700001
"Persley, G. J.",WOS:000830933700001
"Tongoona, P.",WOS:000830933700001
"Pingali, P.",WOS:000830933700001
"Fejerskov, Adam Moe",WOS:000830933700001
"Collins, Andrea M.",WOS:000830933700001
"Orr, Alastair",WOS:000830933700001
"Berik, Gunseli",WOS:000830933700001
"Altan-Olcay, Ozlem",WOS:000830933700001
"Valencia-Fourcans, Lidia",WOS:000830933700001
"Whitfield, S",WOS:000830933700001
"Jost, Christine",WOS:000830933700001
"Fisher, Monica",WOS:000830933700001
"Quisumbing, Agnes R.",WOS:000830933700001
"Ferguson, Lucy",WOS:000830933700001
"Forsythe, L.",WOS:000830933700001
"Doganova, Liana",WOS:000830933700001
"Wilson, Kalpana",WOS:000830933700001
"Cornwall, Andrea",WOS:000830933700001
"Moseley, William",WOS:000830933700001
"Gates, Melinda French",WOS:000830933700001
"Galie, Alessandra",WOS:000830933700001
"Sumberg, James",WOS:000830933700001
"Richey, Lisa Ann",WOS:000830933700001
"Sumberg, James",WOS:000830933700001
"Bajde, Domen",WOS:000830933700001
"Fischer, Elisabeth",WOS:000830933700001
"Mollett, Sharlene",WOS:000830933700001
"Roberts, Adrienne",WOS:000830933700001
"Njuki, Jemimah",WOS:000830933700001
"Wilson, Kalpana",WOS:000830933700001
"Frost, Samantha",WOS:000830933700001
"Peterson, V. Spike",WOS:000830933700001
"Doganova, Liliana",WOS:000830933700001
"Law, John",WOS:000830933700001
"Korieh, Chima",WOS:000830933700001
"Ceccarelli, Salvatore",WOS:000830933700001
"Padmanabhan, Martina A.",WOS:000830933700001
"Joshi, K. D.",WOS:000830933700001
"O'Laughlin, Bridget",WOS:000830933700001
"Muniesa, Fabian",WOS:000830933700001
"Johnson, N",WOS:000830933700001
"Sumberg, J",WOS:000830933700001
"Barad, K",WOS:000830933700001
"Callon, M",WOS:000830933700001
"Nelson, V.",WOS:000830933700001
"Dolan, CS",WOS:000830933700001
"Rankin, KN",WOS:000830933700001
"Sperling, L",WOS:000830933700001
"Fritz, GJ",WOS:000830933700001
"Sorensen, P",WOS:000830933700001
"FRIEDMANN, H",WOS:000830933700001
"CARNEY, J",WOS:000830933700001
"Pimentel, David",WOS:000830933700001
"CARNEY, J",WOS:000830933700001
"FRIEDMANN, H",WOS:000830933700001
"LOEVINSOHN, ME",WOS:000830933700001
"Richards, P.",WOS:000830933700001
"MOHANTY, CT",WOS:000830933700001
"DONALD, CM",WOS:000830933700001
SCOTT,WOS:000830933700001
"Farnworth, CR.",WOS:000830933700001
"Akram-Lodhi, A. H.",WOS:000830933700001
"Spivak, Gayatri Chakravorty",WOS:000830933700001
"Ashby, J. A.",WOS:000830933700001
"Cornwall, A.",WOS:000830933700001
Moseley,WOS:000830933700001
"Sachs, C.",WOS:000830933700001
"Erenstein, O",WOS:000830933700001
"Mitchell, T.",WOS:000830933700001
"Carson, RL",WOS:000830933700001
"Mutari, Ellen.",WOS:000830933700001
"Forsythe, L.",WOS:000830933700001
"Ragot, M.",WOS:000830933700001
"Sumberg, J.",WOS:000830933700001
"Mackenzie, D.",WOS:000830933700001
"Barad, K.",WOS:000830933700001
"Chant, S.",WOS:000830933700001
"Cielemecka, O.",WOS:000830933700001
"Nirmal, P.",WOS:000830933700001
"Haraway, D. J.",WOS:000830933700001
"Orr, A.",WOS:000830933700001
Pingali,WOS:000830933700001
"McCann, James.",WOS:000830933700001
"Haraway, D. J.",WOS:000830933700001
"Ramisch, J.J.",WOS:000830933700001
"Howard, PL",WOS:000830933700001
Jiggins,WOS:000830933700001
Prugl,WOS:000830933700001
"Amadiume, I.",WOS:000830933700001
"Ibabao, N.",WOS:000830933700001
"Star, S. L.",WOS:000830933700001
"Kherallah, M.",WOS:000830933700001
"Comaroff, JL.",WOS:000830933700001
"Tapia, ME.",WOS:000830933700001
"Ashby, J.A.",WOS:000830933700001
"Rao, S.",WOS:000830933700001
"Braidotti, R.",WOS:000830933700001
"de Haan, S.D.",WOS:000830933700001
"Razavi, Shahra",WOS:000830933700001
"Byerlee, D.",WOS:000830933700001
"Law, J",WOS:000830933700001
"Lewis, Desiree",WOS:000830933700001
"Scott, J.C.",WOS:000830933700001
"Ashby, J. A.",WOS:000830933700001
"Korieh, CJ.",WOS:000830933700001
"Gates, M",WOS:000830933700001
"Polar, V.",WOS:000830933700001
"Scoones, I.",WOS:000830933700001
"Orr, A.",WOS:000830933700001
"Doganova, L.",WOS:000830933700001
"Woodhouse, P.",WOS:000830933700001
Pingali,WOS:000830933700001
"Sumberg, J.",WOS:000830933700001
"Kjellberg, Hans.",WOS:000830933700001
"Dorji, Nedup",WOS:000909430000001
"Avriel-Avni, Noa",WOS:000909430000001
"Rawluk, Andrea",WOS:000909430000001
"Willenbrink, Elizabeth",WOS:000909430000001
"Evans, Sam Weiss",WOS:000909430000001
"Seijo, Francisco",WOS:000909430000001
"Carmichael, Bethune",WOS:000909430000001
"Wang, Ya",WOS:000909430000001
"Kuiper, Timothy",WOS:000909430000001
"Chilvers, Jason",WOS:000909430000001
"Turnhout, Esther",WOS:000909430000001
"MacBride-Stewart, Sara",WOS:000909430000001
"Kennedy, E.S.",WOS:000909430000001
"Jimenez Lopez, Jesus",WOS:000909430000001
"Matos, Juliana",WOS:000909430000001
"English, P. B.",WOS:000909430000001
"Leuthold, Julien",WOS:000909430000001
"Sharma-Wallace, Lisa",WOS:000909430000001
"MacBride-Stewart, Sara",WOS:000909430000001
"Allen, Louise",WOS:000909430000001
"Bednarek, A. T.",WOS:000909430000001
"Merson, Martha",WOS:000909430000001
"Raymond, Christopher M.",WOS:000909430000001
"Fox, Coleen A.",WOS:000909430000001
"Bednarek, Angela T.",WOS:000909430000001
"Sharpe, Bill",WOS:000909430000001
"Ruiz-Mallen, Isabel",WOS:000909430000001
"Giraud, Eva",WOS:000909430000001
"Woolley, J. Patrick",WOS:000909430000001
"Mohamad, Zeeda Fatimah",WOS:000909430000001
"Smith, Adrian",WOS:000909430000001
"Usui, Rie",WOS:000909430000001
"Weir, Bevan S.",WOS:000909430000001
"Reed, M. S.",WOS:000909430000001
"Welch, April Varn",WOS:000909430000001
"Brownell, Sara E",WOS:000909430000001
"Stilgoe, Jack",WOS:000909430000001
"Howard, Jonathon",WOS:000909430000001
"Waipara, N. W.",WOS:000909430000001
"Meyer, Morgan",WOS:000909430000001
"Davies, Althea L.",WOS:000909430000001
"Robinson, Catherine J.",WOS:000909430000001
"Bickford, David",WOS:000909430000001
"Stocklmayer, Susan M.",WOS:000909430000001
"Lane, S. N.",WOS:000909430000001
"Cook, David C.",WOS:000909430000001
"Wong, David",WOS:000909430000001
"Steward, Gregory A.",WOS:000909430000001
"Beever, R. E.",WOS:000909430000001
"Hinchliffe, Steve",WOS:000909430000001
"Buller, Henry",WOS:000909430000001
"Barker, Kezia",WOS:000909430000001
"Lengwiler, Martin",WOS:000909430000001
"Braidotti, Rosi",WOS:000909430000001
"Hatfield-Dodds, S",WOS:000909430000001
"Nielsen, Kristian Hvidtfelt",WOS:000909430000001
"Manzini, S",WOS:000909430000001
"Collins, HM",WOS:000909430000001
"Treise, D",WOS:000909430000001
"Guston, DH",WOS:000909430000001
"Miller, C",WOS:000909430000001
"Irwin, A",WOS:000909430000001
"Cornwall, A",WOS:000909430000001
"PICKERING, A",WOS:000909430000001
"LEWIS, HT",WOS:000909430000001
Cronin,WOS:000909430000001
"Nowotny, H.",WOS:000909430000001
"Irwin, A.",WOS:000909430000001
"Latour, B.",WOS:000909430000001
"McEntee, Marie",WOS:000909430000001
Le Page,WOS:000909430000001
Weerasinghe,WOS:000909430000001
Landrum,WOS:000909430000001
"Salleh, A.",WOS:000909430000001
